"step","type","amount","nameorig","oldbalanceorg","newbalanceorig","namedest","oldbalancedest","newbalancedest","isfraud","isflaggedfraud"
1,"PAYMENT","9839.64","C1231006815","170136.00","160296.36","M1979787155","0.00","0.00",0,0
1,"PAYMENT","1864.28","C1666544295","21249.00","19384.72","M2044282225","0.00","0.00",0,0
1,"TRANSFER","181.00","C1305486145","181.00","0.00","C553264065","0.00","0.00",1,0
1,"CASH_OUT","181.00","C840083671","181.00","0.00","C38997010","21182.00","0.00",1,0
1,"PAYMENT","11668.14","C2048537720","41554.00","29885.86","M1230701703","0.00","0.00",0,0
1,"PAYMENT","7817.71","C90045638","53860.00","46042.29","M573487274","0.00","0.00",0,0
1,"PAYMENT","7107.77","C154988899","183195.00","176087.23","M408069119","0.00","0.00",0,0
1,"PAYMENT","7861.64","C1912850431","176087.23","168225.59","M633326333","0.00","0.00",0,0
1,"PAYMENT","4024.36","C1265012928","2671.00","0.00","M1176932104","0.00","0.00",0,0
1,"DEBIT","5337.77","C712410124","41720.00","36382.23","C195600860","41898.00","40348.79",0,0
